 (-9.573730718520303E-002,4.231640350957073E-003)
 (-9.098728022259168E-007,9.348418088195195E-007)
 (-0.118471660789486,-0.706767828534258)
 (-0.205196097587608,-1.22414805431432)
 (-0.842468326213105,-5.02591244653869)
 (-0.961270022426274,-0.740808846528857)
 (1.97139683457480,1.51964681744041)
 (-9.535111029573564E-006,4.146364811755637E-006)
 (1.77070477715340,-1.74939894600656)
 (0.863435161263383,-0.852836753916787)
 (8.076989309484368E-007,-1.156046072345112E-005)
 (-0.110310972022896,-2.606945530467791E-002)
 (6.368282672887407E-002,1.504560733843167E-002)
 (-11.2189102874645,-2.65126310340123)
 (0.189043508167287,-0.131886812577449)
 (-0.273284158362204,0.190659991621246)
 (1.117531913851509E-005,1.800306894931242E-005)
 (0.271614587428093,-0.433433786633448)
 (-8.192465595141148E-002,0.130732140716260)
 (-1.596511235437491E-005,-1.599458527339017E-006)
 (3.88234068695491,2.80394682067373)
 (-2.24146790618002,-1.61885813946093)
 (6.34247275159607,4.58073322154831)
 (1.053812542549923E-004,3.608710299398719E-002)
 (1.518938594543934E-004,6.231064429114379E-002)
 (1.003347938134341E-002,4.16382206276190)
 (-0.118918120929803,-0.247969524155708)
 (-0.206124385641826,-0.429594962529753)
 (-2.40716462265565,-5.01662517341947)
 (0.257068339455776,0.704103114113462)
 (-9.623483596114209E-002,-0.393147165022660)
 (6.099610658624438E-004,-6.439580230352718E-003)
 (0.641094148222391,-0.411613959241972)
 (-1.48981126213695,0.956567522337667)
 (-3.981251524692015E-005,3.327563649317348E-005)
 (-0.244849499209618,-0.127539160133432)
 (0.338000197734043,0.176067031017812)
 (-3.087502559846004E-005,-3.679166471291255E-006)
 (5.06013456309598,-3.730381704737686E-017)
 (9.30348270450697,-1.058540248981786E-018)
 (28.0134160803351,4.632546878405504E-017)
 (-2.343958371540719E-002,7.166426182675757E-003)
 (0.112736320791801,-3.447968936524532E-002)
 (1.261087182937261E-006,-2.492268614765288E-007)
 (1.620077223522602E-002,2.991956418678050E-002)
 (-3.764291205051196E-002,-6.951660435623296E-002)
 (-8.575575094589634E-006,-6.349080743896236E-006)
 (-2.536373560547256E-002,8.232450738439281E-002)
 (3.502483506417821E-002,-0.113676947521725)
